Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Baltimore Ravens,Zay Flowers,WR,Receptions,5.2,5,5.0; 7.0; 2.0; 7.0; 7.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Baltimore Ravens,Lamar Jackson,QB,Passing Yards,224.5,5,204.0; 147.0; 288.0; 225.0; 209.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Baltimore Ravens,Mark Andrews,TE,Receptions,3.1,5,2.0; 7.0; 6.0; 1.0; 1.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Baltimore Ravens,Derrick Henry,RB,Rushing Yards,71.2,5,33.0; 42.0; 50.0; 23.0; 169.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Indianapolis Colts,Alec Pierce,WR,Receptions,3.3,5,5.0; 2.0; 4.0; 4.0; 1.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Indianapolis Colts,Daniel Jones,QB,Passing Yards,254.6,5,212.0; 262.0; 228.0; 316.0; 272.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Indianapolis Colts,Tyler Warren,TE,Receptions,4.4,5,4.0; 5.0; 3.0; 4.0; 7.0,,,,,
2026-09-13T17:00Z,Baltimore Ravens @ Indianapolis Colts,Indianapolis Colts,Jonathan Taylor,RB,Rushing Yards,84.9,5,66.0; 76.0; 102.0; 165.0; 71.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,Dallas Cowboys,CeeDee Lamb,WR,Receptions,5.2,5,7.0; 5.0; 0.0; 9.0; 7.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,Dallas Cowboys,Dak Prescott,QB,Passing Yards,254.4,5,237.0; 319.0; 251.0; 361.0; 188.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,Dallas Cowboys,Jake Ferguson,TE,Receptions,6.3,5,7.0; 7.0; 13.0; 9.0; 5.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,Dallas Cowboys,Javonte Williams,RB,Rushing Yards,73.7,5,135.0; 85.0; 76.0; 97.0; 54.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,New York Giants,Malik Nabers,WR,Receptions,4.6,4,2.0; 2.0; 9.0; 5.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,New York Giants,Jaxson Dart,QB,Passing Yards,132.7,5,195.0; 202.0; 111.0; 0.0; 0.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,New York Giants,Isaiah Likely,TE,Receptions,2.1,5,3.0; 2.0; 2.0; 1.0; 0.0,,,,,
2026-09-14T00:20Z,Dallas Cowboys @ New York Giants,New York Giants,Cam Skattebo,RB,Rushing Yards,46.9,5,59.0; 79.0; 60.0; 45.0; -3.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Buffalo Bills,DJ Moore,WR,Receptions,3.9,5,3.0; 4.0; 4.0; 5.0; 3.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Buffalo Bills,Josh Allen,QB,Passing Yards,249.5,5,253.0; 209.0; 213.0; 148.0; 394.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Buffalo Bills,Dalton Kincaid,TE,Receptions,3.8,5,6.0; 1.0; 5.0; 4.0; 4.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Buffalo Bills,James Cook III,RB,Rushing Yards,77.7,5,49.0; 117.0; 108.0; 132.0; 44.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Houston Texans,Nico Collins,WR,Receptions,4.1,5,4.0; 4.0; 8.0; 3.0; 3.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Houston Texans,C.J. Stroud,QB,Passing Yards,218.3,5,244.0; 233.0; 204.0; 207.0; 188.0,,,,,
2026-09-13T17:00Z,Buffalo Bills @ Houston Texans,Houston Texans,Dalton Schultz,TE,Receptions,3.7,5,5.0; 5.0; 5.0; 3.0; 3.0,,,,,
